title, artist, album, type, year, bpmHuman, bpmFromFile, duration, path, tstart, tend,author, singer, composer, ID, size
Rockin' Robin,Bobby Day,Rock And Roll,cortina,0,164.1075928785885,0.0,153400,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Rockin' Robin-BOBBY DAY-ROCK AND ROLL-CORTINA.mp3,0,152769,Unknown,Unknown,Unknown,1,6147213
Last Night,Chris Anderson,Madisson,cortina,0,0.0,0.0,206210,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Last Night-CHRIS ANDERSON-MADISSON-CORTINA.mp3,0,206179,Unknown,Unknown,Unknown,2,8259019
Centerfold,J. Geils Band,Houseparty: Anthology Disc 2,cortina,1982,0.0,0.0,216502,/home/hoonakker/media/tango-propres-HQ/CORTINA/1982-Centerfold-J. GEILS BAND-HOUSEPARTY: ANTHOLOGY DISC 2-CORTINA.mp3,0,216462,Unknown,Unknown,Unknown,3,8661403
Over And Over,Bobby Day,ROCK AND ROLL,cortina,0,0.0,0.0,138814,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Over And Over-BOBBY DAY-ROCK AND ROLL-CORTINA.mp3,84,138777,Unknown,Unknown,Unknown,4,5560438
Johnny B. Good,Chuck Berry,ROCK AND ROLL,cortina,0,0.0,0.0,159242,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Johnny B Good-CHUCK BERRY-ROCK AND ROLL-CORTINA.mp3,0,158600,Unknown,Unknown,Unknown,5,6378369
Happy,Pharrell Williams ,Happy,cortina,2013,0.0,0.0,230582,/home/hoonakker/media/tango-propres-HQ/CORTINA/2013-Happy-PHARRELL WILLIAMS -HAPPY-CORTINA.mp3,0,230557,Unknown,Unknown,Unknown,6,9234827
Ping Pong,Dimie Cat,Dream'up,cortina,2012,0.0,0.0,173348,/home/hoonakker/media/tango-propres-HQ/CORTINA/2012-Ping Pong-DIMIE CAT-DREAM'UP-CORTINA.mp3,0,171926,Unknown,Unknown,Unknown,7,6943297
Dim, Dim The Lights,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,150200,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Dim, Dim The Lights-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,150225,Unknown,Unknown,Unknown,8,6018569
Rock Around The Clock,Chubby Checker,ROCK AND ROLL,cortina,0,0.0,0.0,131700,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Rock Around The Clock-CHUBBY CHECKER-ROCK AND ROLL-CORTINA.mp3,26,131761,Unknown,Unknown,Unknown,9,5279093
I Can Help,Billy Swan,ROCK AND ROLL,cortina,0,0.0,0.0,175000,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-I Can Help-BILLY SWAN-ROCK AND ROLL-CORTINA.mp3,0,174997,Unknown,Unknown,Unknown,10,7011166
Blue Suede Shoes,Carl Perkins,ROCK AND ROLL,cortina,2008,0.0,0.0,133407,/home/hoonakker/media/tango-propres-HQ/CORTINA/2008-Blue Suede Shoes-CARL PERKINS-ROCK AND ROLL-CORTINA.mp3,0,133366,Unknown,Unknown,Unknown,11,5343980
Sugar,Robin Schulz Ft. Francesco Yates,Sugar,cortina,2015,0.0,0.0,218984,/home/hoonakker/media/tango-propres-HQ/CORTINA/2015-Sugar-ROBIN SCHULZ FT. FRANCESCO YATES-SUGAR-CORTINA.mp3,0,218958,Unknown,Unknown,Unknown,12,8760702
Moving Stones,Hazmat Modine,Unknown,cortina,0,0.0,0.0,239700,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Moving Stones-HAZMAT MODINE-UNKNOWN-CORTINA.mp3,58,239710,Unknown,Unknown,Unknown,13,9591329
Birth Of The Boogie,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,133616,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Birth Of The Boogie-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,133584,Unknown,Unknown,Unknown,14,5352303
Let's Twist Again,Chubby Checker,ROCK AND ROLL,cortina,0,0.0,0.0,141035,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Let's Twist Again-CHUBBY CHECKER-ROCK AND ROLL-CORTINA.mp3,0,140989,Unknown,Unknown,Unknown,15,5649353
You Can't Win,James Hunter,People Gonna Talk,cortina,0,0.0,0.0,148244,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-You Can't Win-JAMES HUNTER-PEOPLE GONNA TALK-CORTINA.mp3,0,148215,Unknown,Unknown,Unknown,16,5931063
Thirteen Women,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,171990,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Thirteen Women-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,171958,Unknown,Unknown,Unknown,17,6888788
Rock Around The Clock,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,131160,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Rock Around The Clock-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,20,131128,Unknown,Unknown,Unknown,18,5253986
I Get Around,The Beach Boys,20 Good Vibrations - The Greatest Hits,cortina,0,0.0,0.0,132200,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-I Get Around-THE BEACH BOYS-20 GOOD VIBRATIONS - THE GREATEST HITS-CORTINA.mp3,10,132231,Unknown,Unknown,Unknown,19,5291688
(on Va) Déconner,CharlElie Couture,Unknown,cortina,0,0.0,0.0,234475,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-(on Va) Déconner-CHARLELIE COUTURE-UNKNOWN-CORTINA.mp3,0,234449,Unknown,Unknown,Unknown,20,9380285
Burn That Candle,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,164519,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Burn That Candle-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,164470,Unknown,Unknown,Unknown,21,6589651
Gimme Little Sign,Brenton Wood,ROCK AND ROLL,cortina,0,0.0,0.0,135131,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Gimme Little Sign-BRENTON WOOD-ROCK AND ROLL-CORTINA.mp3,0,135090,Unknown,Unknown,Unknown,22,5412974
Onde Sensuelle,M,Unknown,cortina,0,0.0,0.0,194168,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Onde Sensuelle-M-UNKNOWN-CORTINA.mp3,0,194134,Unknown,Unknown,Unknown,23,7768138
Somewhere Over The Rainbow,ISRAEL KAMAKAWIWOʻOLE,Unknown,cortina,0,0.0,0.0,211584,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Somewhere Over The Rainbow-ISRAEL KAMAKAWIWOʻOLE-UNKNOWN-CORTINA.mp3,730,208848,Unknown,Unknown,Unknown,24,8474010
Twist And Shout,Beatles,ROCK AND ROLL,cortina,0,0.0,0.0,152711,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Twist And Shout-BEATLES-ROCK AND ROLL-CORTINA.mp3,4,152674,Unknown,Unknown,Unknown,25,6116886
Downtown,Macklemore & Ryan Lewis,Downtown,cortina,2015,0.0,0.0,292362,/home/hoonakker/media/tango-propres-HQ/CORTINA/2015-Downtown-MACKLEMORE & RYAN LEWIS-DOWNTOWN-CORTINA.mp3,0,292326,Unknown,Unknown,Unknown,26,11695966
Caricias,Francisco Lomuto,Orquesta Francisco Lomuto 1927-1940,tango,1937,0.0,0.0,171700,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1937-Caricias - Jorge Omar - 1937-FRANCISCO LOMUTO-ORQUESTA FRANCISCO LOMUTO 1927-1940-TANGO.mp3,0,168991,Alfredo Bigeschi,Jorge Omar,Juan Martí,27,3459257
Misa de once,Francisco Lomuto,Orquesta Francisco Lomuto 1927-1940,tango,1929,0.0,0.0,205800,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1929-Misa De Once - Charlo-FRANCISCO LOMUTO-ORQUESTA FRANCISCO LOMUTO 1927-1940-TANGO.mp3,0,205771,Armando Tagini,Charlo,Juan José Guichandut,28,8233979
Chique,Francisco Lomuto,Orquesta Francisco Lomuto 1927-1940,tango,1927,0.0,0.0,191200,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1927-Chique - Instrumental-FRANCISCO LOMUTO-ORQUESTA FRANCISCO LOMUTO 1927-1940-TANGO.mp3,84,188420,Ricardo Luis Brignolo,Unnkown,Ricardo Luis Brignolo,29,3616170
Condena,Francisco Lomuto,Unknown,tango,1937,0.0,0.0,159600,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/0-condena-FRANCISCO LOMUTO-UNKNOWN-TANGO.mp3,0,158120,Enrique Santos Discépolo,Unnkown,Enrique Santos Discépolo y Francisco Pracánico,30,3835613
Dímelo al oído,Francisco Lomuto,Unknown,tango,1945,0.0,0.0,165585,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1945-Dimelo-FRANCISCO LOMUTO-UNKNOWN-TANGO.mp3,0,159131,Francisco Lomuto,Alberto Rivera,Francisco Lomuto,31,2649767
